time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1725799080368,download,100000,67.19987800111758,5615120.259220293,142.89987800037252,97.000122,100300,
1725799084462,download,100000,88.79988700074506,7506088.383397484,106.89988700037253,107.000113,100300,45.70020199925494 51.90002500037252
1725799084615,download,100000,52.10019999962748,12676105.288617657,63.300200000745065,84.9998,100300,
1725799084793,download,100000,63.99992,9845408.437210735,81.49992,91.00008,100300,
1725799085013,download,100000,92.500053,7745169.782765062,103.60005300149011,105.999947,100300,55.700057001117585
1725799085148,download,100000,42.199951999254935,14328583.710214611,55.99995199999999,75.000048,100300,
1725799085326,download,100000,59.500168,11144418.440801416,72.000168,100.999832,100300,
1725799085498,download,100000,66.500158,10670190.347047877,75.20015800111759,90.999842,100300,
1725799085731,download,100000,85.69988599925495,8171088.915582732,98.19988599925495,130.000114,100300,52.90004600037253
1725799085924,download,100000,63.499846000000005,11222401.793704562,71.499846,113.000154,100300,
1725799086287,download,1000000,65.40017700037252,34899231.67383337,229.30017700074507,110.999823,1000300,57.40006700037253
1725799086538,download,1000000,56.500116000000006,55341587.69292147,144.60011599962746,96.999884,1000300,
1725799086780,download,1000000,53.90015800037253,56674157.54546578,141.2001580011176,90.999842,1000300,
1725799087290,download,1000000,42.09990700149011,21822748.921437852,366.6999070011176,127.000093,1000300,49.999954
1725799087538,download,1000000,56.20005500111759,51133528.35562901,156.500055,82.999945,1000300,88.000181
1725799087804,download,1000000,53.599928999627465,54364156.65621173,147.1999290011176,101.000071,1000300,
1725799088142,download,1000000,89.80020800074506,37446851.712742135,213.70020800111757,117.999792,1000300,146.90008400037254
1725799088423,download,1000000,71.70001099925494,50424697.19827285,158.70001099925494,111.999989,1000300,
1725799088933,upload,100000,50.50013000000001,1652620.7605344295,486.5,435.99987,376,72.09978799962747
1725799089168,upload,100000,48.60002699962746,3548102.383059672,226.59999999962747,177.999973,376,
1725799089408,upload,100000,56.000192999999996,3450643.776824034,233,176.999807,376,59.90009699850988
1725799089717,upload,100000,54.80018700074507,2672872.3404189106,300.80000000074506,245.999813,376,
1725799089947,upload,100000,53.700038001117576,3676268.8614352597,218.7000000011176,164.999962,376,60.499994
1725799090146,upload,100000,111.20006700111759,4437086.092687865,181.2000000011176,69.999933,376,
1725799090362,upload,100000,56.59996799962747,4068825.9109388446,197.59999999962747,141.000032,376,
1725799090554,upload,100000,55.200071999254945,4437086.092733476,181.19999999925494,125.999928,375,139.79994299888241
1725799098520,upload,1000000,48.39998299850981,6404333.28023701,1255.3999999985099,1207.000017,376,67.20013000111759 161.39992900037254
1725799100229,upload,1000000,46.89994700037255,4754864.273462788,1690.9000000003725,1644.000053,375,58.200192999254945 67.49989099999999 92.80007799888241
1725799103294,upload,1000000,63.199934999254765,2706888.4250225625,2970.199999999255,2907.000065,376,44.20008999925494 79.09999399962747 80.40020200037253 66.89992200037253 68.69983799925494 60.100087999627476
1725799106486,upload,1000000,40.900051000372514,2536357.6138045536,3169.9000000003725,3128.999949,375,45.80000600074506 56.299911998882415 53.200108999254944 40.90007800037253 53.60015099962747 56.000109
1725799110105,upload,1000000,159.8998610003723,2240240.7422884908,3588.9000000003725,3429.000139,376,66.500078 51.10005699962747 57.19984600111759 43.30000599888241 57.20004799925494 57.39993300037253
1725799112763,upload,1000000,60.60010899962754,3063323.9350762554,2624.5999999996275,2563.999891,376,48.20006900111759 90.40004600037253 53.89992199850988 40.10012999962747 52.500085999999996
1725799115023,download,10000000,77.69997100111759,39293910.18640639,2035.999971,95.000029,10000300,153.39993500037252 52.50017 57.90011800037253 47.90020200037253
1725799117904,download,10000000,55.10022099962747,29233161.668978352,2736.7002209992547,81.999779,10000300,71.19988899925494 64.19997099925494 393.499861 59.200099001117586
1725799120921,download,10000000,61.89996000037253,28146074.136586152,2842.3999600003726,108.00004,10000300,47.09996399962747 154.3000059988824 46.79994300074506 78.30015099888242 50.90018100037253 67.999933
1725799123613,download,10000000,76.30017899888242,32182466.808530692,2485.9001790003726,87.999821,10000300,66.70017899925494 47.80016000074505 43.30003600074506 56.499861 72.40023099850988
1725799126410,download,10000000,60.70019499925493,31037551.9660494,2577.6001949996275,153.999805,10000300,109.60006499962748 61.399942998509886 132.99999400000002 64.60015999962746
1725799129311,download,10000000,92.80011299888241,29676681.002510652,2695.8001129988825,142.999887,10000300,74.09990999962747 52.29968299888242 80.09997300149011 48.80001500074506 102.20012999925494
